timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673274039365,2795,trendyolMainPage,200,OK,Thread Group 1-4,text,true,,61902,435,50,50,https://www.trendyol.com/,1979,0,1697
1673274039371,2796,trendyolMainPage,200,OK,Thread Group 1-10,text,true,,61870,435,50,50,https://www.trendyol.com/,1976,0,1694
1673274039776,2433,trendyolMainPage,200,OK,Thread Group 1-47,text,true,,61834,435,50,50,https://www.trendyol.com/,1690,0,1242
1673274039525,2931,trendyolMainPage,200,OK,Thread Group 1-33,text,true,,61770,435,50,50,https://www.trendyol.com/,1739,0,1502
1673274039443,3013,trendyolMainPage,200,OK,Thread Group 1-29,text,true,,61868,435,50,50,https://www.trendyol.com/,1814,0,1588
1673274039916,1735,trendyolMainPage,200,OK,Thread Group 1-49,text,true,,61927,435,50,50,https://www.trendyol.com/,1344,0,1105
1673274039360,3163,trendyolMainPage,200,OK,Thread Group 1-14,text,true,,61880,435,50,50,https://www.trendyol.com/,2064,0,1715
1673274039441,3094,trendyolMainPage,200,OK,Thread Group 1-28,text,true,,61897,435,50,50,https://www.trendyol.com/,2022,0,1643
1673274039359,3209,trendyolMainPage,200,OK,Thread Group 1-5,text,true,,61903,435,50,50,https://www.trendyol.com/,2807,0,1949
1673274039511,3078,trendyolMainPage,200,OK,Thread Group 1-32,text,true,,61746,435,50,50,https://www.trendyol.com/,2355,0,1828
1673274039441,3581,trendyolMainPage,200,OK,Thread Group 1-24,text,true,,61907,435,50,50,https://www.trendyol.com/,2901,0,1940
1673274039369,3685,trendyolMainPage,200,OK,Thread Group 1-13,text,true,,61836,435,50,50,https://www.trendyol.com/,2571,0,2025
1673274039739,3468,trendyolMainPage,200,OK,Thread Group 1-44,text,true,,61951,435,50,50,https://www.trendyol.com/,1639,0,1284
1673274039722,3510,trendyolMainPage,200,OK,Thread Group 1-41,text,true,,61830,435,50,50,https://www.trendyol.com/,2172,0,1632
1673274039368,3869,trendyolMainPage,200,OK,Thread Group 1-17,text,true,,61864,435,50,50,https://www.trendyol.com/,2558,0,2031
1673274039532,3733,trendyolMainPage,200,OK,Thread Group 1-34,text,true,,61940,435,50,50,https://www.trendyol.com/,3427,0,3049
1673274042600,704,trendyolSearch,200,OK,Thread Group 1-5,text,true,,52167,563,50,50,https://www.trendyol.com/sr?q=ayakabÄ±&qt=ayakabÄ±&st=ayakabÄ±&os=1,397,0,0
1673274039368,3940,trendyolMainPage,200,OK,Thread Group 1-12,text,true,,62165,435,50,50,https://www.trendyol.com/,3347,0,2073
1673274042493,826,trendyolSearch,200,OK,Thread Group 1-33,text,true,,52127,563,50,50,https://www.trendyol.com/sr?q=ayakabÄ±&qt=ayakabÄ±&st=ayakabÄ±&os=1,761,0,0
1673274042394,889,trendyolSearch,200,OK,Thread Group 1-4,text,true,,64259,527,50,50,https://www.trendyol.com/sr?q=tablet&qt=tablet&st=tablet&os=1,602,0,0
1673274039366,3982,trendyolMainPage,200,OK,Thread Group 1-11,text,true,,61938,435,50,50,https://www.trendyol.com/,3371,0,2025
1673274042576,828,trendyolSearch,200,OK,Thread Group 1-14,text,true,,67639,533,50,50,https://www.trendyol.com/sr?q=kozmetik&qt=kozmetik&st=kozmetik&os=1,578,0,0
1673274042613,806,trendyolSearch,200,OK,Thread Group 1-32,text,true,,64154,527,50,50,https://www.trendyol.com/sr?q=tablet&qt=tablet&st=tablet&os=1,541,0,0
1673274039585,3843,trendyolMainPage,200,OK,Thread Group 1-37,text,true,,62171,435,50,50,https://www.trendyol.com/,3113,0,1855
1673274039367,4063,trendyolMainPage,200,OK,Thread Group 1-15,text,true,,61955,435,50,50,https://www.trendyol.com/,3136,0,2064
1673274039361,4067,trendyolMainPage,200,OK,Thread Group 1-3,text,true,,61859,435,50,50,https://www.trendyol.com/,3562,0,3171
1673274039371,4012,trendyolMainPage,200,OK,Thread Group 1-18,text,true,,61836,435,50,50,https://www.trendyol.com/,3326,0,1993
1673274039497,3948,trendyolMainPage,200,OK,Thread Group 1-27,text,true,,61668,435,50,50,https://www.trendyol.com/,2913,0,1829
1673274039644,3830,trendyolMainPage,200,OK,Thread Group 1-40,text,true,,62000,435,50,50,https://www.trendyol.com/,3068,0,1811
1673274043047,462,trendyolSearch,200,OK,Thread Group 1-24,text,true,,52249,563,50,50,https://www.trendyol.com/sr?q=ayakabÄ±&qt=ayakabÄ±&st=ayakabÄ±&os=1,275,0,0
1673274039430,4082,trendyolMainPage,200,OK,Thread Group 1-22,text,true,,61856,435,50,50,https://www.trendyol.com/,1826,0,1593
1673274039476,4052,trendyolMainPage,200,OK,Thread Group 1-30,text,true,,62112,435,50,50,https://www.trendyol.com/,3026,0,1967
1673274039502,4075,trendyolMainPage,200,OK,Thread Group 1-31,text,true,,62173,435,50,50,https://www.trendyol.com/,2745,0,2318
1673274042396,1235,trendyolSearch,200,OK,Thread Group 1-47,text,true,,64206,527,50,50,https://www.trendyol.com/sr?q=tablet&qt=tablet&st=tablet&os=1,961,0,0
1673274042512,1119,trendyolSearch,200,OK,Thread Group 1-49,text,true,,67326,533,50,50,https://www.trendyol.com/sr?q=kozmetik&qt=kozmetik&st=kozmetik&os=1,847,0,0
1673274039399,4256,trendyolMainPage,200,OK,Thread Group 1-19,text,true,,61900,435,50,50,https://www.trendyol.com/,3415,0,3032
1673274040032,3667,trendyolMainPage,200,OK,Thread Group 1-50,text,true,,61932,435,50,50,https://www.trendyol.com/,2772,0,2413
1673274039365,4428,trendyolMainPage,200,OK,Thread Group 1-8,text,true,,62173,435,50,50,https://www.trendyol.com/,3134,0,1745
1673274039604,4193,trendyolMainPage,200,OK,Thread Group 1-38,text,true,,61948,435,50,50,https://www.trendyol.com/,1714,0,1487
1673274043334,455,trendyolChoose,200,OK,Thread Group 1-33,text,true,,57995,654,50,50,https://www.trendyol.com/hatun-atila/kadin-renkli-cesitli-ayakabali-oversize-gomlek-p-302030007?boutiqueId=61&merchantId=588160&boutiqueId=614790&merchantId=968,359,0,0
1673274039432,4526,trendyolMainPage,200,OK,Thread Group 1-23,text,true,,61928,435,50,50,https://www.trendyol.com/,1971,0,1677
1673274042576,1612,trendyolSearch,200,OK,Thread Group 1-28,text,true,,61802,530,50,50,https://www.trendyol.com/sr?q=telefon&qt=telefon&st=telefon&os=1,1546,0,0
1673274043520,686,trendyolChoose,200,OK,Thread Group 1-24,text,true,,58093,654,50,50,https://www.trendyol.com/hatun-atila/kadin-renkli-cesitli-ayakabali-oversize-gomlek-p-302030007?boutiqueId=61&merchantId=588160&boutiqueId=614790&merchantId=968,647,0,0
1673274043345,815,trendyolChoose,200,OK,Thread Group 1-4,text,true,,67900,689,50,50,https://www.trendyol.com/vorcom/sxpro-64-gb-10-1-gri-tablet-bilgisayar-4-gb-ram-uretici-garantili-kirilmaz-cam-hediyeli-p-46205297?boutiqueId=61&merchantId=519473&boutiqueId=614790&merchantId=968,328,0,0
1673274043444,779,trendyolSearch,200,OK,Thread Group 1-15,text,true,,64089,539,50,50,https://www.trendyol.com/sr?q=bilgisayar&qt=bilgisayar&st=bilgisayar&os=1,760,0,0
1673274043469,699,trendyolSearch,200,OK,Thread Group 1-27,text,true,,59768,539,50,50,https://www.trendyol.com/sr?q=evtekstili&qt=evtekstili&st=evtekstili&os=1,651,0,0
1673274043829,414,trendyolMainPage,200,OK,Thread Group 1-33,text,true,,61999,435,50,50,https://www.trendyol.com/,395,0,0
1673274039909,4372,trendyolMainPage,200,OK,Thread Group 1-48,text,true,,62132,435,50,50,https://www.trendyol.com/,1988,0,1503
1673274043526,814,trendyolSearch,200,OK,Thread Group 1-22,text,true,,64162,539,50,50,https://www.trendyol.com/sr?q=bilgisayar&qt=bilgisayar&st=bilgisayar&os=1,784,0,0
1673274039445,4912,trendyolMainPage,200,OK,Thread Group 1-26,text,true,,61973,435,50,50,https://www.trendyol.com/,2996,0,1920
1673274039728,4663,trendyolMainPage,200,OK,Thread Group 1-42,text,true,,61939,435,50,50,https://www.trendyol.com/,2713,0,1427
1673274043426,948,trendyolChoose,200,OK,Thread Group 1-14,text,true,,67981,648,50,50,https://www.trendyol.com/garnier/micellar-kusursuz-makyaj-temizleme-suyu-400-ml-p-1263243?boutiqueId=61&merchantId=107819&boutiqueId=614790&merchantId=968,514,0,0
1673274039367,5052,trendyolMainPage,200,OK,Thread Group 1-2,text,true,,61855,435,50,50,https://www.trendyol.com/,2263,0,1768
1673274039426,5001,trendyolMainPage,200,OK,Thread Group 1-21,text,true,,61949,435,50,50,https://www.trendyol.com/,2039,0,1645
1673274039421,5037,trendyolMainPage,200,OK,Thread Group 1-20,text,true,,61846,435,50,50,https://www.trendyol.com/,3063,0,2708
1673274043489,938,trendyolSearch,200,OK,Thread Group 1-40,text,true,,52210,563,50,50,https://www.trendyol.com/sr?q=ayakabÄ±&qt=ayakabÄ±&st=ayakabÄ±&os=1,632,0,0
1673274043074,1362,trendyolSearch,200,OK,Thread Group 1-13,text,true,,67690,533,50,50,https://www.trendyol.com/sr?q=aksesuar&qt=aksesuar&st=aksesuar&os=1,1187,0,0
1673274042493,1882,trendyolSearch,200,OK,Thread Group 1-29,text,true,,67348,533,50,50,https://www.trendyol.com/sr?q=aksesuar&qt=aksesuar&st=aksesuar&os=1,1876,0,0
1673274043363,1084,trendyolSearch,200,OK,Thread Group 1-11,text,true,,64252,527,50,50,https://www.trendyol.com/sr?q=tablet&qt=tablet&st=tablet&os=1,330,0,0
1673274043323,1134,trendyolSearch,200,OK,Thread Group 1-12,text,true,,52230,563,50,50,https://www.trendyol.com/sr?q=ayakabÄ±&qt=ayakabÄ±&st=ayakabÄ±&os=1,421,0,0
1673274042399,2040,trendyolSearch,200,OK,Thread Group 1-10,text,true,,61985,530,50,50,https://www.trendyol.com/sr?q=telefon&qt=telefon&st=telefon&os=1,1344,0,0
1673274043443,999,trendyolSearch,200,OK,Thread Group 1-37,text,true,,59742,539,50,50,https://www.trendyol.com/sr?q=evtekstili&qt=evtekstili&st=evtekstili&os=1,851,0,0
1673274043454,1014,trendyolSearch,200,OK,Thread Group 1-18,text,true,,64530,527,50,50,https://www.trendyol.com/sr?q=tablet&qt=tablet&st=tablet&os=1,377,0,0
1673274043447,1030,trendyolSearch,200,OK,Thread Group 1-3,text,true,,61904,530,50,50,https://www.trendyol.com/sr?q=telefon&qt=telefon&st=telefon&os=1,373,0,0
1673274043657,822,trendyolChoose,200,OK,Thread Group 1-49,text,true,,58378,648,50,50,https://www.trendyol.com/luis-bien/dis-beyazlatma-seti-dis-macunu-75ml-toz-50gr-p-4950450?boutiqueId=61&merchantId=106368&boutiqueId=614790&merchantId=968,651,0,0
1673274039559,4865,trendyolMainPage,200,OK,Thread Group 1-35,text,true,,61908,435,50,50,https://www.trendyol.com/,2182,0,1653
1673274043652,718,trendyolChoose,200,OK,Thread Group 1-47,text,true,,60911,691,50,50,https://www.trendyol.com/vorcom/sxpro-64-gb-10-1-siyah-tablet-bilgisayar-4-gb-ram-uretici-garantili-kirilmaz-cam-hediyeli-p-52231931?boutiqueId=61&merchantId=519473&boutiqueId=614790&merchantId=968,685,0,0
1673274043830,703,trendyolSearch,200,OK,Thread Group 1-38,text,true,,61843,530,50,50,https://www.trendyol.com/sr?q=telefon&qt=telefon&st=telefon&os=1,395,0,0
1673274043541,987,trendyolSearch,200,OK,Thread Group 1-30,text,true,,64164,539,50,50,https://www.trendyol.com/sr?q=bilgisayar&qt=bilgisayar&st=bilgisayar&os=1,753,0,0
1673274043320,1247,trendyolChoose,200,OK,Thread Group 1-5,text,true,,58009,654,50,50,https://www.trendyol.com/hatun-atila/kadin-renkli-cesitli-ayakabali-oversize-gomlek-p-302030007?boutiqueId=61&merchantId=588160&boutiqueId=614790&merchantId=968,364,0,0
1673274039360,5269,trendyolMainPage,200,OK,Thread Group 1-1,text,true,,61840,435,50,50,https://www.trendyol.com/,2924,0,2065
1673274039440,5190,trendyolMainPage,200,OK,Thread Group 1-25,text,true,,61933,435,50,50,https://www.trendyol.com/,2967,0,1955
1673274043440,1194,trendyolChoose,200,OK,Thread Group 1-32,text,true,,61885,695,50,50,https://www.trendyol.com/lenovo/tab-m10-plus-tb-x606f-4gb-64gb-10-3-wi-fi-gri-tablet-za5t0420tr-lenovo-turkiye-garantili-p-282421582?boutiqueId=618568&merchantId=105290&boutiqueId=614790&merchantId=968,389,0,0
1673274039378,5268,trendyolMainPage,200,OK,Thread Group 1-6,text,true,,62025,435,50,50,https://www.trendyol.com/,3031,0,2032
